m,steps,squared_overlap,bfgs_evaluations
1981.0000,1.0000,0.5173,66.0000
1981.0000,2.0000,0.9264,175.0000
1981.0000,3.0000,0.9044,287.0000
1981.0000,4.0000,1.0000,477.0000
1981.0000,5.0000,1.0000,627.0000
1981.0000,6.0000,1.0000,455.0000
1981.0000,7.0000,1.0000,2055.0000
1981.0000,8.0000,1.0000,1989.0000
319.0000,1.0000,0.3594,21.0000
319.0000,2.0000,0.3935,65.0000
319.0000,3.0000,0.3969,112.0000
319.0000,4.0000,0.4184,144.0000
319.0000,5.0000,0.4588,220.0000
319.0000,6.0000,0.5261,325.0000
319.0000,7.0000,0.5594,480.0000
319.0000,8.0000,0.5934,561.0000
69169.0000,1.0000,0.3803,39.0000
69169.0000,2.0000,0.4063,105.0000
69169.0000,3.0000,0.4236,140.0000
69169.0000,4.0000,0.4405,270.0000
69169.0000,5.0000,0.4462,385.0000
69169.0000,6.0000,0.4487,455.0000
69169.0000,7.0000,0.4612,645.0000
2893.0000,1.0000,0.5024,30.0000
2893.0000,2.0000,0.5917,95.0000
2893.0000,3.0000,0.3833,42.0000
2893.0000,4.0000,0.8305,639.0000
2893.0000,5.0000,0.8361,869.0000
2893.0000,6.0000,0.9410,1352.0000
2893.0000,7.0000,0.9977,3705.0000
2893.0000,8.0000,0.9934,3196.0000
56153.0000,1.0000,0.5783,24.0000
56153.0000,2.0000,0.5966,145.0000
56153.0000,3.0000,0.6732,182.0000
56153.0000,4.0000,0.6865,441.0000
56153.0000,5.0000,0.7521,671.0000
56153.0000,6.0000,0.7516,455.0000
56153.0000,7.0000,0.7490,420.0000
56153.0000,8.0000,0.7517,731.0000
291311.0000,1.0000,0.4894,21.0000
291311.0000,2.0000,0.4965,70.0000
291311.0000,3.0000,0.4989,133.0000
291311.0000,4.0000,0.5015,198.0000
291311.0000,5.0000,0.5071,539.0000
291311.0000,6.0000,0.5004,533.0000
